순번_정류장ID,9-2803371,10-2803174,11-2803172,12-2803208,13-2803176,14-2803381,15-2807010,16-2805325,17-2803211,18-2803214,19-2803210,20-2803361,21-2807315
9-2803371,0,0.49386,1.0782120000000002,1.5589330000000001,2.454891,2.727081,3.166446,7.0804279999999995,7.873709999999999,11.205423,13.109777,13.409084,13.597986
10-2803174,,0,0.5843520000000001,1.0650730000000002,1.9610310000000002,2.2332210000000003,2.6725860000000004,6.586568,7.379849999999999,10.711562999999998,12.615916999999998,12.915223999999998,13.104125999999999
11-2803172,,,0,0.480721,1.376679,1.648869,2.088234,6.002216,6.795497999999999,10.127210999999999,12.031564999999999,12.330872,12.519774
12-2803208,,,,0,0.895958,1.168148,1.607513,5.521495,6.314776999999999,9.64649,11.550844,11.850151,12.039053000000001
13-2803176,,,,,0,0.27219,0.7115549999999999,4.625537,5.418818999999999,8.750532,10.654886,10.954193,11.143095
14-2803381,,,,,,0,0.43936499999999995,4.353346999999999,5.146628999999999,8.478341999999998,10.382695999999997,10.682002999999998,10.870904999999999
15-2807010,,,,,,,0,3.913982,4.7072639999999994,8.038977,9.943330999999999,10.242638,10.43154
16-2805325,,,,,,,,0,0.7932819999999999,4.124994999999999,6.029349,6.328656,6.517557999999999
17-2803211,,,,,,,,,0,3.3317129999999997,5.236067,5.535374,5.724276
18-2803214,,,,,,,,,,0,1.904354,2.2036610000000003,2.3925630000000004
19-2803210,,,,,,,,,,,0,0.299307,0.488209
20-2803361,,,,,,,,,,,,0,0.188902
21-2807315,,,,,,,,,,,,,0
