순번_정류장ID,1-2801174,2-2801729,3-2801711,4-2801704,5-2801695,6-2801216,7-2801184,8-2801665,9-2801636,10-2801601,11-2801577,12-2801607
1-2801174,0,0.23830300000000001,0.520529,0.635089,0.761672,0.8952880000000001,1.229139,1.496823,1.889246,2.184132,2.521351,2.8390370000000003
2-2801729,,0,0.28222600000000003,0.396786,0.523369,0.6569849999999999,0.9908359999999999,1.2585199999999999,1.6509429999999998,1.9458289999999998,2.283048,2.600734
3-2801711,,,0,0.11456,0.241143,0.374759,0.70861,0.976294,1.368717,1.663603,2.000822,2.318508
4-2801704,,,,0,0.126583,0.260199,0.59405,0.861734,1.254157,1.549043,1.8862619999999999,2.203948
5-2801695,,,,,0,0.133616,0.467467,0.7351510000000001,1.127574,1.42246,1.759679,2.077365
6-2801216,,,,,,0,0.333851,0.601535,0.9939580000000001,1.288844,1.626063,1.943749
7-2801184,,,,,,,0,0.26768400000000003,0.660107,0.954993,1.292212,1.6098979999999998
8-2801665,,,,,,,,0,0.392423,0.6873090000000001,1.024528,1.3422140000000002
9-2801636,,,,,,,,,0,0.29488600000000004,0.632105,0.949791
10-2801601,,,,,,,,,,0,0.337219,0.6549050000000001
11-2801577,,,,,,,,,,,0,0.317686
12-2801607,,,,,,,,,,,,0
